zone_id,zone_name,scenario,rainfall_1h,rainfall_3h,rainfall_6h,elevation,slope,distance_to_drain,drain_capacity,pump_load_pct,flood_history_count,population_density,critical_infra_flag,lat,lon,data_source,flood_severity
REAL-0836,Badli Road,extreme,38.6,91.2,141.6,35.9,2.55,298.6,72.4,86.3,1,12295.6,1,28.6298,77.24198,real_govt_record,Medium
SYN2-0035,SYN2-0035,synthetic_v2,74.62,180.38,261.64,58.0,7.6,651.92,94.0,22.94,2,4935.24,1,28.68067,77.34057,synthetic,Medium
REAL-0154,Rafi Marg,moderate,15.5,38.9,58.4,30.4,4.87,782.3,83.0,98.5,4,12297.9,0,28.63487,77.23709,real_govt_record,Low
REAL-0521,Mahipalpur to Gurugram,light,2.2,5.0,7.9,38.7,2.1,336.2,76.7,98.2,1,18274.5,1,28.62657,77.23445,real_govt_record,Low
REAL-0755,Sant Nagar MargTowards,heavy,29.1,83.1,120.0,20.2,4.21,109.3,76.7,77.9,1,4511.4,1,28.63023,77.23983,real_govt_record,Medium
REAL-0296,Pusa Road- Vande Matram Marg,extreme,34.7,95.9,149.8,28.3,2.5,258.5,76.7,93.0,2,16191.5,0,28.6311,77.2459,real_govt_record,Medium
REAL-0192,PUSA Road,extreme,57.0,137.7,185.6,10.5,1.22,419.6,83.9,49.5,4,10687.4,0,28.63018,77.23808,real_govt_record,High
REAL-0794,Surajkund Road,moderate,22.9,46.3,73.6,8.2,1.1,427.2,86.1,68.0,1,11421.5,0,28.63068,77.23498,real_govt_record,Low
REAL-0951,Krishna Menon Marg,heavy,22.0,60.3,92.4,13.5,4.62,77.1,74.1,59.7,1,13249.4,1,28.6309,77.23715,real_govt_record,Low
REAL-0594,Dadri Main Road,moderate,19.9,40.2,57.9,36.1,3.3,78.0,87.5,70.1,1,24757.1,1,28.63496,77.23404,real_govt_record,Low
ZONE-039,ZONE-039,synthetic_v1,62.27,96.14,148.15,41.47,5.75,736.36,42.25,36.08,3,22421.21,0,28.75863,77.23267,synthetic,High
REAL-0619,Kartavya Marg,heavy,33.8,72.5,99.5,29.3,0.51,94.9,87.5,92.5,1,21320.0,0,28.62896,77.23609,real_govt_record,Low
REAL-0306,Old Gurugram Road,moderate,13.3,30.9,42.3,8.5,1.86,721.6,86.5,53.7,2,14257.0,1,28.6268,77.23985,real_govt_record,Low
SYN2-0070,SYN2-0070,synthetic_v2,51.76,107.92,171.96,45.42,0.53,608.14,91.67,80.38,0,3252.51,0,28.79292,77.19738,synthetic,Low
REAL-0813,Urban Extension Road,light,5.2,10.5,16.7,44.2,3.92,753.5,87.5,68.5,1,16156.8,0,28.62704,77.24602,real_govt_record,Low
SYN2-0067,SYN2-0067,synthetic_v2,53.34,104.87,131.79,14.97,1.28,528.4,41.25,98.82,0,4316.7,1,28.61565,77.24794,synthetic,Low
REAL-0507,Old Palam Road,heavy,20.9,55.7,74.9,33.8,2.41,337.8,79.7,59.3,1,6731.0,1,28.63001,77.24098,real_govt_record,Low
REAL-0588,Brigadier Hoshiyar Singh Marg,extreme,44.0,112.7,178.2,17.7,4.21,232.4,74.1,47.0,1,19239.1,1,28.62926,77.23979,real_govt_record,High
REAL-0320,Ashok Vihar Market,extreme,57.1,133.0,175.0,31.4,2.58,590.0,85.9,97.8,2,8960.9,0,28.63546,77.23832,real_govt_record,High
REAL-0288,Narela Bawana Road,extreme,45.3,106.8,150.9,18.0,0.73,272.4,87.5,54.1,2,6413.3,0,28.62853,77.24548,real_govt_record,Medium
ZONE-101,ZONE-101,synthetic_v1,29.31,70.21,114.18,34.14,1.64,655.12,42.45,28.55,5,24823.62,1,28.7934,77.22507,synthetic,High
SYN2-0145,SYN2-0145,synthetic_v2,67.77,157.96,211.03,44.73,1.6,90.78,21.67,25.43,4,9252.73,1,28.73268,77.31026,synthetic,High
REAL-0922,Captain Kumud Kumar Marg,moderate,13.1,32.7,44.3,35.3,4.61,730.4,76.7,54.6,1,6527.0,1,28.63635,77.23676,real_govt_record,Low
REAL-0033,Bhairon Marg,light,2.1,5.7,7.4,18.5,3.76,233.3,72.4,66.9,21,14493.2,0,28.6124,77.24334,real_govt_record,Low
ZONE-068,ZONE-068,synthetic_v1,7.97,22.81,52.93,52.04,3.95,305.59,60.88,55.25,5,2245.87,0,28.60213,77.2005,synthetic,High
REAL-0413,NH-44 Near Apple,light,6.5,18.2,24.7,29.7,3.76,118.5,85.9,40.8,1,10603.1,1,28.62792,77.23784,real_govt_record,Low
REAL-0130,Kautilya Marg,moderate,16.5,42.1,59.8,19.9,0.86,200.8,85.9,70.3,5,15737.6,0,28.62628,77.2443,real_govt_record,Low
REAL-0983,Palam Colony,heavy,35.1,85.4,126.1,9.1,4.28,309.8,85.9,79.8,1,5621.1,1,28.63162,77.23713,real_govt_record,Medium
REAL-0572,Azaz Market Road,extreme,66.7,133.7,183.2,9.2,4.07,140.4,74.7,60.5,1,13345.7,0,28.63086,77.24084,real_govt_record,High
SYN2-0133,SYN2-0133,synthetic_v2,10.77,22.92,29.98,11.86,7.08,821.57,62.78,24.75,4,3551.71,1,28.68715,77.28455,synthetic,Medium
REAL-0625,KN Katju Marg,light,7.2,16.5,22.4,17.7,4.29,292.9,80.7,45.2,1,8409.3,0,28.63175,77.23678,real_govt_record,Low
REAL-0043,New Rohtak Road,heavy,42.9,86.1,135.2,9.8,1.73,771.1,80.7,54.1,19,8537.0,1,28.65884,77.19396,real_govt_record,High
REAL-0613,Jaitpur Road,light,2.9,7.5,11.3,31.5,4.52,380.2,83.9,38.9,1,5551.2,0,28.63001,77.23731,real_govt_record,Low
REAL-0464,JLN Marg,extreme,57.4,126.0,195.1,25.4,3.38,134.6,81.7,40.2,1,13505.6,0,28.63056,77.24443,real_govt_record,High
REAL-0311,Bawana Road,heavy,39.4,84.6,128.6,39.7,2.73,386.5,82.5,52.2,2,17641.8,0,28.63719,77.23666,real_govt_record,Medium
SYN2-0143,SYN2-0143,synthetic_v2,66.3,156.64,229.21,47.31,3.85,298.43,37.52,20.22,5,18207.88,0,28.65795,77.2544,synthetic,High
SYN2-0085,SYN2-0085,synthetic_v2,13.19,27.11,32.55,24.84,5.32,61.77,76.13,66.97,0,23220.66,0,28.71523,77.23568,synthetic,Low
REAL-0406,DND Flyway At,moderate,13.1,30.7,42.8,34.4,3.36,51.5,81.7,48.4,1,17002.3,1,28.62541,77.24157,real_govt_record,Low
REAL-0858,Dr. Bhim Rao Ambedkar Marg,moderate,13.4,29.2,42.0,41.8,2.16,602.0,74.7,77.7,1,21941.5,1,28.6347,77.23885,real_govt_record,Low
REAL-1004,"Sector-14 Road, Dwarka",extreme,38.8,95.7,136.2,40.5,4.9,240.4,79.7,44.3,1,9273.6,1,28.62709,77.24113,real_govt_record,Medium
REAL-0828,Arakshan Road,extreme,33.8,93.7,124.0,37.3,1.0,764.8,72.4,55.8,1,23854.3,1,28.62571,77.24109,real_govt_record,Medium
ZONE-018,ZONE-018,synthetic_v1,10.63,75.51,99.32,56.34,6.42,481.44,53.74,52.04,1,17795.75,0,28.79975,77.25634,synthetic,Low
REAL-0624,Khalsa Road,extreme,54.0,137.8,203.0,43.4,1.87,793.8,72.4,67.0,1,18091.9,0,28.63145,77.23762,real_govt_record,High
REAL-0603,Dr. Rajendra Prasad Road,heavy,34.4,78.7,113.8,36.4,1.32,331.8,80.7,75.4,1,22834.9,0,28.63013,77.24353,real_govt_record,Low
REAL-0543,Jai Singh Road,heavy,21.6,59.9,82.3,12.9,0.55,721.9,74.1,68.7,1,22125.3,1,28.62945,77.23836,real_govt_record,Low
ZONE-062,ZONE-062,synthetic_v1,61.58,115.13,164.92,48.51,1.12,92.0,96.28,96.62,0,13150.22,0,28.68626,77.17828,synthetic,Low
REAL-0473,M.G. Road,light,7.0,15.1,24.1,17.7,1.83,438.8,83.9,35.4,1,17334.8,0,28.63209,77.24379,real_govt_record,Low
REAL-0909,Bahadur Shah Zafar Marg,light,4.6,11.4,17.8,9.4,2.02,468.9,80.7,54.1,1,17797.9,0,28.6274,77.24328,real_govt_record,Low
SYN2-0054,SYN2-0054,synthetic_v2,77.46,189.89,262.06,34.8,1.06,485.56,71.5,95.49,3,9802.27,0,28.76401,77.34226,synthetic,High
REAL-0064,Bhairon Road,extreme,53.8,130.1,185.5,13.4,3.84,793.3,74.1,59.0,10,7520.8,0,28.61722,77.24101,real_govt_record,High
REAL-0897,Sham Nath Marg,light,10.7,23.7,35.0,26.8,1.06,644.7,86.1,94.5,1,18875.8,1,28.63015,77.24253,real_govt_record,Low
ZONE-092,ZONE-092,synthetic_v1,14.12,78.34,177.96,29.33,1.0,269.46,80.34,74.72,1,5681.26,1,28.69849,77.28308,synthetic,Low
SYN2-0131,SYN2-0131,synthetic_v2,87.71,182.14,224.28,38.94,1.77,592.69,54.33,73.06,0,2848.89,0,28.73246,77.20455,synthetic,Medium
SYN2-0086,SYN2-0086,synthetic_v2,69.6,134.79,174.85,46.53,1.08,462.54,32.6,76.06,3,13405.75,1,28.77619,77.21087,synthetic,High
SYN2-0142,SYN2-0142,synthetic_v2,53.04,128.84,188.28,36.52,6.43,402.92,37.92,38.14,2,16263.12,1,28.58008,77.31827,synthetic,Medium
REAL-0704,Old Seelam Pur,extreme,55.8,119.7,160.3,44.4,2.24,371.4,72.4,35.7,1,5696.5,0,28.63083,77.23636,real_govt_record,Medium
REAL-0847,Chand Cinema Road,heavy,34.3,89.7,126.3,17.3,3.73,401.8,86.1,37.6,1,19444.3,0,28.62247,77.23395,real_govt_record,Medium
REAL-0617,Kartavya Marg,light,9.3,20.0,29.8,18.7,0.66,726.2,87.5,52.0,1,24850.1,1,28.62812,77.23577,real_govt_record,Low
REAL-0254,Barapullah Road,moderate,17.7,39.2,54.1,28.8,1.59,592.7,72.4,85.0,2,15307.3,0,28.63088,77.23594,real_govt_record,Low
REAL-0397,Shahid Bhagat Singh Marg,light,7.7,21.4,30.5,21.1,4.69,515.8,76.7,47.6,2,13627.8,0,28.63336,77.23786,real_govt_record,Low
REAL-0178,Najafgarh- Bahadurgarh Road,moderate,23.3,51.7,71.7,28.7,1.68,106.8,83.0,36.9,4,20666.0,0,28.63306,77.24195,real_govt_record,Low
REAL-0658,Najafgarh-kapashera Road,moderate,15.7,35.5,46.5,22.1,0.88,521.7,94.2,48.2,1,18075.5,0,28.62845,77.2372,real_govt_record,Low
REAL-0435,Teen Murti Marge,heavy,41.2,86.8,127.2,44.5,4.93,125.5,86.1,93.1,1,18503.4,1,28.62926,77.24135,real_govt_record,Low
SYN2-0013,SYN2-0013,synthetic_v2,48.4,103.07,151.77,27.4,6.54,310.0,94.41,24.44,0,11649.87,1,28.73898,77.32668,synthetic,Low
REAL-0560,Abai Marg,extreme,61.4,134.1,191.9,43.5,2.01,593.2,76.7,44.6,1,4406.3,0,28.63087,77.23616,real_govt_record,High
REAL-0911,Bahadur Shah Zafar Marg,heavy,36.0,83.5,115.6,38.4,2.35,287.9,80.7,56.6,1,22708.8,0,28.63074,77.24468,real_govt_record,Low
REAL-0087,Najafgarh Road,heavy,35.1,87.9,128.0,23.6,0.61,730.4,86.1,53.9,7,16940.4,1,28.62975,77.2369,real_govt_record,Medium
REAL-0153,Rafi Marg,light,1.9,5.3,7.8,33.8,4.95,661.8,83.0,90.9,4,18027.4,0,28.63379,77.23505,real_govt_record,Low
SYN2-0139,SYN2-0139,synthetic_v2,78.89,158.32,223.02,50.08,0.68,174.05,48.3,22.96,2,20811.36,0,28.76115,77.26756,synthetic,Medium
REAL-0286,Narela Bawana Road,moderate,10.4,26.5,36.8,23.5,4.74,496.3,87.5,87.5,2,5497.2,0,28.62613,77.2455,real_govt_record,Low
REAL-0782,Sunheri Bagh- Rafi Marg,moderate,13.2,29.7,40.6,20.7,0.61,180.1,83.0,46.3,1,10411.5,1,28.62716,77.24509,real_govt_record,Low
REAL-0986,Patel Road,moderate,13.8,30.4,42.2,32.4,2.58,588.5,74.1,71.0,1,23790.4,1,28.62766,77.23954,real_govt_record,Low
REAL-0401,Rajpath Suoth Rajpath,light,8.1,18.6,27.0,17.9,4.74,349.9,85.9,66.1,1,9337.0,1,28.63404,77.23465,real_govt_record,Low
REAL-0391,Najafgarh – Dhansa Road,heavy,30.9,81.1,119.9,35.2,4.1,448.1,85.9,93.4,2,24709.6,1,28.62696,77.23823,real_govt_record,Medium
REAL-0235,Sardar Patel Marg,heavy,29.0,70.9,103.9,40.6,4.96,737.7,82.5,88.5,3,5562.1,0,28.62833,77.24289,real_govt_record,Low
REAL-0120,Sector 14 Road,extreme,45.8,101.4,139.0,8.0,2.95,345.4,83.9,50.3,6,14365.8,0,28.63044,77.23862,real_govt_record,High
REAL-0792,Suraj Kund Road,extreme,65.5,137.2,187.3,9.6,2.18,626.2,86.5,87.3,1,10774.6,1,28.62815,77.2476,real_govt_record,High
REAL-0212,GT Road,extreme,63.1,129.5,171.4,23.9,2.64,362.0,83.9,75.3,3,20981.5,1,28.62825,77.23639,real_govt_record,High
REAL-0652,Maulana Johar Ali Marg,extreme,41.7,98.1,136.4,13.3,2.73,202.9,76.7,77.1,1,5974.7,0,28.62611,77.23467,real_govt_record,Medium
REAL-0914,Bharat Scouts & Guide Marg,moderate,21.6,47.6,75.2,39.4,3.08,67.7,94.2,96.2,1,22347.2,1,28.62564,77.23871,real_govt_record,Low
REAL-0784,Sunheri Bagh- Rafi Marg,extreme,44.0,97.6,155.9,28.7,3.12,485.1,83.0,59.2,1,19111.9,1,28.62772,77.24255,real_govt_record,Medium
REAL-0726,Rajesh Pilot Marg,moderate,15.7,41.1,53.9,12.0,2.66,370.4,90.9,52.0,1,18787.3,0,28.62565,77.24597,real_govt_record,Low
REAL-0421,Seelampur Road,light,5.0,11.4,14.9,29.1,2.35,94.6,72.4,73.9,1,11048.5,1,28.62801,77.23761,real_govt_record,Low
REAL-0779,SPM Marg,heavy,23.2,63.3,87.2,32.8,3.84,387.0,74.7,69.9,1,17471.3,0,28.62923,77.24267,real_govt_record,Low
REAL-0962,Najafgarh Bakkarwala Cut,moderate,19.6,52.5,79.6,21.5,4.26,403.1,76.7,97.9,1,19009.8,0,28.63214,77.24298,real_govt_record,Low
REAL-0308,Old Gurugram Road,extreme,60.6,127.4,203.4,36.7,1.21,475.4,86.5,75.0,2,16698.3,0,28.62491,77.23958,real_govt_record,High
REAL-0173,Loni Road,light,7.3,14.6,20.4,33.8,1.55,245.9,90.9,81.7,4,16074.5,1,28.63215,77.24453,real_govt_record,Low
REAL-0117,Sector 14 Road,light,2.3,6.4,8.9,21.8,1.84,661.4,83.9,91.8,6,17488.7,1,28.63038,77.24099,real_govt_record,Low
SYN2-0033,SYN2-0033,synthetic_v2,77.12,166.38,203.2,56.02,2.49,751.5,57.14,80.13,2,8916.05,1,28.77764,77.30794,synthetic,Medium
REAL-0223,Mandi Road,heavy,31.2,73.5,99.2,31.1,4.52,547.5,87.5,53.5,3,20926.6,1,28.62827,77.23657,real_govt_record,Low
ZONE-057,ZONE-057,synthetic_v1,72.0,114.62,207.57,27.29,2.11,769.38,60.41,96.37,3,24734.27,0,28.56271,77.306,synthetic,High
REAL-0003,Ring Road,heavy,22.5,63.5,91.4,24.3,4.29,439.3,82.5,76.0,145,14495.2,0,28.62626,77.24227,real_govt_record,High
REAL-0611,Geeta Colony,heavy,41.1,84.8,133.3,18.1,2.65,297.7,85.9,82.5,1,12701.1,1,28.63338,77.23748,real_govt_record,Medium
REAL-0616,Jaitpur Road,extreme,39.6,98.3,156.1,14.8,1.42,552.2,83.9,67.2,1,23075.5,1,28.63071,77.23878,real_govt_record,Medium
REAL-0680,NH-48 Jharela Village,extreme,38.9,110.3,166.0,35.8,1.4,586.7,83.9,38.2,1,7040.3,1,28.63233,77.23976,real_govt_record,Medium
REAL-0850,Chelmsford Road,moderate,17.4,42.4,62.5,42.8,4.53,268.3,74.1,97.8,1,9966.4,1,28.63223,77.2384,real_govt_record,Low
ZONE-004,ZONE-004,synthetic_v1,49.86,62.88,135.66,17.61,7.25,471.52,56.32,27.63,1,13691.21,1,28.72496,77.23557,synthetic,Low
REAL-0234,Sardar Patel Marg,moderate,16.4,36.7,48.1,24.9,2.85,325.6,82.5,94.1,3,15695.5,1,28.62927,77.24534,real_govt_record,Low
SYN2-0191,SYN2-0191,synthetic_v2,59.78,122.1,193.67,53.23,2.68,430.22,58.7,87.34,0,24216.29,0,28.71779,77.27876,synthetic,Low
ZONE-033,ZONE-033,synthetic_v1,14.64,55.0,120.9,26.28,7.48,831.1,70.1,78.16,5,20126.9,0,28.5964,77.18159,synthetic,High
REAL-0129,Kautilya Marg,light,7.8,21.0,28.4,12.0,4.7,238.5,85.9,66.2,5,6527.8,1,28.6312,77.24056,real_govt_record,Low
REAL-0933,GGR-PDR RR Hospital,light,5.9,16.1,23.9,39.3,4.35,273.2,83.9,40.9,1,8293.9,1,28.63359,77.23827,real_govt_record,Low
REAL-0157,Pankha Road,light,11.6,23.9,31.2,21.0,2.91,450.3,83.0,42.1,4,20573.7,1,28.63268,77.23554,real_govt_record,Low
SYN2-0091,SYN2-0091,synthetic_v2,21.27,51.0,71.76,32.15,4.05,73.85,94.08,61.2,4,18799.04,1,28.67856,77.24809,synthetic,Medium
ZONE-106,ZONE-106,synthetic_v1,26.89,84.59,111.81,6.88,2.4,167.73,70.06,72.82,2,6858.31,0,28.71654,77.29245,synthetic,Medium
REAL-0386,Jawahar Lal Nehru Marg,moderate,21.1,47.2,73.1,36.1,2.76,782.5,74.7,64.6,2,13367.2,1,28.62873,77.24722,real_govt_record,Low
SYN2-0186,SYN2-0186,synthetic_v2,29.76,65.87,89.34,18.76,0.87,480.94,74.03,21.93,2,5159.18,0,28.60487,77.34012,synthetic,Low
REAL-0124,Rani Jhansi Marg,extreme,46.7,110.6,155.2,22.7,3.83,570.4,86.5,51.2,5,17330.3,1,28.6346,77.24365,real_govt_record,High
REAL-0974,NH-48 Shiv Murti,moderate,17.6,40.4,61.4,20.6,2.27,450.2,86.5,64.5,1,18042.4,1,28.62525,77.23666,real_govt_record,Low
REAL-0258,Burari Road,moderate,20.4,42.5,63.9,44.1,1.79,630.8,94.2,75.5,2,13836.7,0,28.62941,77.23812,real_govt_record,Low
REAL-0225,Dwarka Near Sector,light,7.1,19.1,28.1,27.0,2.93,348.4,80.7,60.9,3,20553.9,0,28.63014,77.24043,real_govt_record,Low
ZONE-130,ZONE-130,synthetic_v1,59.26,79.15,127.13,47.59,4.86,550.21,60.96,17.98,1,7839.11,0,28.78675,77.15746,synthetic,Low
SYN2-0029,SYN2-0029,synthetic_v2,68.7,157.29,241.11,16.44,6.53,805.84,31.43,22.58,4,17390.79,0,28.70343,77.23559,synthetic,High
REAL-0685,NH-48 Near Shiv,light,5.7,14.7,22.4,10.1,1.29,795.3,86.5,78.4,1,4757.4,1,28.63278,77.23536,real_govt_record,Low
REAL-0970,NH-48 Near APS Colony,moderate,12.4,28.1,39.0,22.8,0.54,335.2,83.0,44.0,1,21201.9,0,28.63522,77.24195,real_govt_record,Low
REAL-0713,"Pocket-16, Sector-22, Rohini",light,7.2,16.9,25.0,21.4,2.93,510.9,87.5,89.3,1,10210.5,0,28.63425,77.24128,real_govt_record,Low
REAL-0523,Mahipalpur to Gurugram,heavy,40.6,85.1,135.3,15.6,1.3,581.1,76.7,38.7,1,24271.9,0,28.62407,77.23536,real_govt_record,Medium
REAL-0553,NH-44 Khampur Singhu,light,4.6,9.7,14.9,26.6,2.97,610.8,72.4,72.8,1,5619.6,1,28.6295,77.23737,real_govt_record,Low
REAL-0899,Sham Nath Marg,heavy,32.0,83.8,113.0,13.4,3.84,790.5,86.1,49.0,1,5181.2,1,28.62994,77.23848,real_govt_record,Medium
ZONE-038,ZONE-038,synthetic_v1,93.42,116.97,216.35,42.21,3.92,234.37,67.42,50.79,4,17855.88,0,28.78818,77.20209,synthetic,High
REAL-0772,Shamnat Hedge Marg,extreme,51.3,134.8,209.4,15.2,1.58,293.8,76.7,62.8,1,19952.9,0,28.6318,77.23557,real_govt_record,High
REAL-0309,Bawana Road,light,4.6,12.7,19.1,17.6,1.48,276.9,82.5,73.9,2,10716.1,0,28.63697,77.23812,real_govt_record,Low
REAL-0492,MGM Road,extreme,45.8,107.1,148.2,23.2,4.61,238.8,87.5,62.2,1,23077.6,1,28.62876,77.24201,real_govt_record,Medium
SYN2-0168,SYN2-0168,synthetic_v2,72.0,136.14,210.26,10.23,6.7,263.24,40.64,12.87,1,3980.13,0,28.56499,77.24564,synthetic,Medium
REAL-0764,Satguru Ram Singh Marg,extreme,52.8,127.6,190.4,38.2,0.99,458.4,94.2,46.0,1,4942.8,0,28.62871,77.23894,real_govt_record,High
REAL-0454,Dhaula Kuan Dhaula,moderate,13.1,36.2,51.4,24.7,2.66,783.7,87.5,69.1,1,7482.7,0,28.63169,77.24167,real_govt_record,Low
REAL-0125,SSN Marg,light,6.7,16.3,24.6,31.1,4.24,650.9,90.9,43.0,5,11916.0,1,28.62673,77.2407,real_govt_record,Low
SYN2-0099,SYN2-0099,synthetic_v2,41.66,107.01,165.58,18.69,2.97,910.13,21.37,51.54,3,9657.71,1,28.78118,77.3394,synthetic,High
SYN2-0015,SYN2-0015,synthetic_v2,79.37,149.93,225.64,36.01,4.02,436.52,26.37,28.04,4,5371.42,0,28.59509,77.25181,synthetic,High
ZONE-138,ZONE-138,synthetic_v1,96.51,104.57,147.41,13.72,4.77,207.7,76.87,35.08,2,22689.1,1,28.6396,77.27674,synthetic,Medium
SYN2-0090,SYN2-0090,synthetic_v2,8.01,20.51,24.76,45.82,6.54,414.99,85.2,25.79,4,16853.29,1,28.61358,77.15628,synthetic,Medium
REAL-0361,Old Delhi Gurugram Road,light,5.3,13.6,21.0,32.1,2.92,639.4,76.7,39.8,2,24930.3,0,28.63093,77.23925,real_govt_record,Low
REAL-0727,Rajesh Pilot Marg,heavy,27.6,67.2,94.6,26.2,4.85,177.1,90.9,66.4,1,7513.2,1,28.6241,77.24222,real_govt_record,Low
SYN2-0076,SYN2-0076,synthetic_v2,38.07,80.61,128.16,19.33,1.34,316.73,70.93,11.35,2,5575.12,1,28.66315,77.29618,synthetic,Medium
REAL-0969,NH-48 Near APS Colony,light,7.8,18.9,28.2,35.3,0.85,755.4,83.0,92.1,1,22956.7,1,28.6309,77.24309,real_govt_record,Low
ZONE-067,ZONE-067,synthetic_v1,17.89,59.28,121.57,54.24,1.88,569.48,98.08,54.4,2,15621.36,0,28.73729,77.20243,synthetic,Low
SYN2-0195,SYN2-0195,synthetic_v2,46.01,97.78,141.34,5.3,2.73,365.29,45.55,67.37,3,23717.18,0,28.57264,77.15822,synthetic,High
REAL-0261,Purana Quila Road,light,6.1,13.9,18.5,16.5,1.17,537.3,90.9,54.9,2,12060.2,0,28.62716,77.2388,real_govt_record,Low
REAL-1010,Sikandra Marg,moderate,14.7,30.3,46.2,19.2,2.37,699.1,94.2,55.3,1,11821.4,0,28.63007,77.23909,real_govt_record,Low
