zone_id,rainfall_1h,rainfall_3h,rainfall_6h,elevation,slope,distance_to_drain,drain_capacity,pump_load_pct,flood_history_count,population_density,critical_infra_flag,flood_severity
ZONE-022,24.16,30.26,65.9,34.27,6.74,220.74,81.13,93.98,1,8875.91,0,Low
ZONE-023,13.02,90.2,156.89,24.34,4.69,514.97,47.76,94.6,1,15873.06,1,Low
ZONE-024,98.41,118.14,161.74,12.12,2.86,94.76,37.06,50.43,0,7619.12,1,Medium
ZONE-025,96.2,157.16,255.4,28.77,2.85,264.74,94.96,12.73,0,23181.81,0,Low
ZONE-026,49.12,82.53,158.54,42.69,6.19,361.65,87.75,37.94,0,2180.19,1,Low
ZONE-027,51.13,96.14,147.87,52.68,0.95,781.72,48.06,64.07,0,17787.71,1,Low
ZONE-028,51.39,97.47,184.28,11.56,1.51,759.62,98.57,35.63,2,11802.23,1,Medium
ZONE-029,92.89,164.84,197.13,53.96,2.11,958.77,37.25,52.34,2,21791.28,0,High
ZONE-030,22.65,95.59,141.99,19.49,2.27,231.68,62.99,50.33,2,24255.63,0,Medium
ZONE-031,85.19,149.29,222.58,41.34,3.68,740.03,80.83,27.59,4,20842.99,0,High
ZONE-032,39.86,112.87,176.74,34.74,1.24,985.51,50.93,61.29,1,23857.04,1,Medium
ZONE-033,14.64,55,120.9,26.28,7.48,831.1,70.1,78.16,5,20126.9,0,High
ZONE-034,92.42,117.69,215.06,52.25,0.78,390.21,64.33,24.93,1,19353.18,1,Low
ZONE-035,72.94,129.07,199.43,18.49,6.15,460.01,99.34,74.82,0,22922.68,1,Low
ZONE-036,44,66.59,98.85,29.29,4.55,295.7,34.8,19.84,3,4354.72,1,High
ZONE-037,97.63,105.14,174,28.71,8,851.23,97.9,96.9,5,5885.92,1,High
ZONE-038,93.42,116.97,216.35,42.21,3.92,234.37,67.42,50.79,4,17855.88,0,High
ZONE-039,62.27,96.14,148.15,41.47,5.75,736.36,42.25,36.08,3,22421.21,0,High
ZONE-040,48.89,125.01,223.32,30.87,4.5,692.02,30.24,25.67,2,7346.73,1,High
ZONE-041,59.16,116.71,202.08,31.55,3.62,537.12,86.96,63.16,5,13143.02,0,High
ZONE-042,32.51,37.92,57.73,5.91,4.47,655.79,77.25,68.05,5,18347.2,1,High
ZONE-043,54.19,104.66,178.69,17.71,5.65,602.11,67.56,40.26,2,20903.5,1,Medium
ZONE-044,14.39,71.05,130.91,54.25,2.28,918.11,35.73,30,4,10480.8,0,High
ZONE-045,94.6,129.86,208.93,32.7,7.63,368.49,74.42,28.94,5,13430.37,0,High
ZONE-046,60.06,121.72,210.53,21.69,6.75,594.75,22.75,72.66,5,9043.92,0,High
ZONE-047,21.8,61.48,73.66,5.91,4.72,748.75,25.32,59.59,5,7224.23,0,High
ZONE-048,95.95,123.52,217.78,7.01,3.07,858.78,32.88,56.5,2,7586.67,0,High
ZONE-049,73.68,148.68,177.33,57.11,4.52,254.69,48.52,39.6,4,14513.22,0,High
ZONE-050,13.43,41.61,64.86,45.56,2.53,526.09,46.4,71.86,4,14584.16,0,Medium
ZONE-051,89.27,162.79,229.95,27.12,4.83,777.9,93.4,86.97,1,6086.73,1,Medium
ZONE-052,5.5,12.1,90.67,14.07,2.36,125.8,92.07,82.56,0,11349.48,0,Low
ZONE-053,45.51,83.89,137.74,54.05,2.31,75.63,89.74,11.05,1,12022.62,0,Low
ZONE-054,42.09,55.59,123.86,35.89,4.37,688.88,34.87,40.15,0,4260.08,1,Low
ZONE-055,16.34,69.6,134.64,29.64,6.25,86.44,74.46,16.77,5,11308.17,1,High
ZONE-056,61.65,73.29,146.89,24.34,1.87,88.76,39.92,65.53,1,13336.43,0,Low
ZONE-057,72,114.62,207.57,27.29,2.11,769.38,60.41,96.37,3,24734.27,0,High
ZONE-058,18.83,51.66,93.45,52.31,2.46,695.62,76.84,29.34,4,8985.38,0,Medium
ZONE-059,10.79,16.93,82.38,38.03,3.86,680.37,41.11,12.3,3,21997.65,0,Medium
ZONE-060,14.32,75.13,90.13,7.97,3,869.28,89.52,46.31,1,5449.22,1,Low
ZONE-061,83.29,100.31,150.23,31.02,3.7,109.9,34.92,38.82,5,7697.38,0,High
ZONE-062,61.58,115.13,164.92,48.51,1.12,92,96.28,96.62,0,13150.22,0,Low
ZONE-063,87.85,115.59,165.13,29.16,0.75,74.67,37.87,41.39,5,16573.88,0,High
ZONE-064,53.11,74.6,154.03,16.64,7.54,237.77,94.24,81.41,5,2100.49,1,High
ZONE-065,45.36,53,140.65,58.23,6.65,938.81,32.44,36.2,2,14863.49,1,Low
ZONE-066,10.76,40.39,70.15,30.14,1.1,652.01,50.49,95.1,2,19812.32,0,Low
ZONE-067,17.89,59.28,121.57,54.24,1.88,569.48,98.08,54.4,2,15621.36,0,Low
ZONE-068,7.97,22.81,52.93,52.04,3.95,305.59,60.88,55.25,5,2245.87,0,High
ZONE-069,95.07,107.66,142.33,29.67,7.33,692.81,47.87,73.88,0,5153.13,1,Low
ZONE-070,69.19,98.23,118.23,46.46,2.36,683.06,25.8,97.3,3,17819.88,1,High
ZONE-071,61.41,139.67,165.09,34.13,2.64,568.54,89.31,27.93,3,24690.74,1,High
ZONE-072,81.66,137.44,191.15,50.13,1.34,318.25,91.8,63.32,5,6783.08,0,High
ZONE-073,55.03,113.06,180.81,35.16,6.94,733.26,44.34,38.21,0,15483.58,1,Low
ZONE-074,95.47,137.25,234.66,42.97,3.5,95.28,56.4,15.54,5,12097.19,1,High
ZONE-075,93.16,128.07,176.68,54.33,2.07,144.82,91.05,24.06,4,12573.13,0,High
ZONE-076,77.45,85.23,140.32,59.61,7.13,166.55,86.34,48.58,1,21276.84,0,Low
ZONE-077,28.42,90.63,156.87,26.77,4.51,286.25,78.96,22.4,2,5625.96,0,Medium
ZONE-078,20.51,77.87,115.98,56.15,7.15,293.92,66.96,55.15,5,9439.94,1,High
ZONE-079,91.19,164.19,229.55,26.22,2.26,84.89,26.21,69.55,4,15331.3,1,High
ZONE-080,56.8,84.6,144.44,10.31,3.66,847.19,94.82,40.02,3,8273.57,0,High
ZONE-081,41.02,63.51,127.82,20.43,3.84,857.98,84.62,31.53,2,19963.46,1,Low
ZONE-082,60.21,99.46,193.57,25.59,4.03,813.11,69.77,82.4,4,20774.94,0,High
ZONE-083,46.02,120.33,201.76,41.74,6.63,318.52,42.17,49.56,2,24313.76,0,Medium
ZONE-084,12.81,41.91,120.62,50.28,7.48,929.46,56.06,41.1,4,22184.87,0,Medium
ZONE-085,42.74,88.61,163.71,49.14,6.47,991.21,70.07,96.47,4,12866.84,1,High
ZONE-086,62.47,67.87,79.47,25.88,5.5,333.63,44.43,60.65,1,5009.72,1,Low
ZONE-087,22.42,67.5,132.97,14.99,7.43,800.78,99.6,52.67,2,16463.6,0,Low
ZONE-088,25.7,39.24,78.59,28.89,1.83,664.47,21.12,15.69,2,21791.14,1,Medium
ZONE-089,71.08,79.81,151.53,48.49,0.92,746.41,94.26,35.25,2,6330.95,0,Low
ZONE-090,70.6,133.48,222.72,56.76,2.15,499.64,22.26,50.23,1,7523.26,1,Medium
ZONE-091,24.18,85.81,146.05,14.04,2.36,579.8,98.11,21.26,5,2634.64,0,High
ZONE-092,14.12,78.34,177.96,29.33,1,269.46,80.34,74.72,1,5681.26,1,Low
ZONE-093,27.52,71.74,111.15,57.18,5.87,187.89,78.26,98.53,2,13738.93,1,Low
ZONE-094,75.51,135.31,201.55,34.29,3.19,369.41,60.21,23.52,4,3857.49,0,High
ZONE-095,65.38,97.64,167.68,32.52,2.48,441.96,93.64,57.59,5,16188.18,0,High
ZONE-096,63.73,108.63,172.78,59.12,7.53,111.14,85.99,45.41,1,22009.38,0,Low
ZONE-097,38.79,46.89,122.37,26.13,5.58,446.42,66.44,41.5,1,6980.98,1,Low
ZONE-098,65.74,126.32,197.98,50.38,7.34,729.45,58.72,96.57,1,22655.92,0,Low
ZONE-099,82.25,144.08,195.52,19.9,4.01,546.8,99.72,88.95,1,2729.85,1,Medium
ZONE-100,17.64,60.55,77.93,31.59,3.97,668.68,77.47,75.43,1,4383.29,0,Low
ZONE-101,29.31,70.21,114.18,34.14,1.64,655.12,42.45,28.55,5,24823.62,1,High
ZONE-102,40.45,96.43,110.26,36.64,6.13,203.67,46.98,51.26,5,13090.05,0,High
ZONE-103,10.82,42.02,85.81,47.67,6.88,885.68,59.11,12.7,0,13333.7,0,Low
ZONE-104,51.36,104.91,190.03,14.94,4.85,486.89,79.06,59.28,4,16246.95,1,High
ZONE-105,86.84,137.45,190.91,37.04,1.47,441.3,55.52,40.89,3,18815.19,0,High
ZONE-106,26.89,84.59,111.81,6.88,2.4,167.73,70.06,72.82,2,6858.31,0,Medium
ZONE-107,69.49,134.66,189.37,40.68,7.23,999.24,47.68,12.5,2,13203.07,1,Medium
ZONE-108,56.6,102.29,153.43,29.45,4.39,255.78,21.71,23.31,3,11160.7,1,High
ZONE-109,94.18,160.28,205.42,5.64,7.8,815.74,46.31,36.72,0,10672.31,0,Medium
ZONE-110,82.87,128.41,178.49,36.3,3.63,117.6,81.02,93.57,3,7263.84,1,High
ZONE-111,15.53,83.66,178.22,19.04,6.55,215.29,22.77,72.24,3,24646.1,1,High
ZONE-112,80.5,151.59,186.75,33.45,2.22,415.62,46.43,89.68,1,14214.99,0,Medium
ZONE-113,21,32.83,126.6,35.32,4.66,849.4,24.57,56.53,5,13417.37,1,High
ZONE-114,75.47,127.35,209.6,40.12,6.9,772.73,39.34,44.97,1,15281.3,0,Medium
ZONE-115,60.11,124.04,221.51,41.31,3.72,910.3,53.01,11.49,4,21710.27,1,High
ZONE-116,95.45,131.5,229.9,40.33,0.69,748.6,45.97,57.53,0,19345.35,0,Low
ZONE-117,90.52,127.04,159.76,54.03,2.52,380.62,93.15,79.54,2,23869.73,0,Medium
ZONE-118,57.79,78.89,102.36,37.76,7.92,277.58,75.26,78.71,2,2156.76,1,Medium
ZONE-119,9.97,64.83,130.62,20.26,2.58,826.71,90.19,18.77,1,13302.88,1,Low
ZONE-120,13.55,67.33,161.6,21.89,2.47,621.74,65.06,22.44,4,14557.78,0,High
ZONE-121,83.39,96.71,188.89,27.85,4.66,131.05,91.45,82.71,2,2598.22,0,Medium
ZONE-122,66.14,145.67,225.55,40.09,5.55,893.63,84.87,65.83,1,19739.27,0,Medium
ZONE-123,36.59,63.37,147.5,50.12,6.05,266.52,69.94,93.01,2,10476.43,1,Low
ZONE-124,14.11,56.82,143.31,7.56,2.32,368.8,52.48,19.53,1,15503.25,1,Low
ZONE-125,36.51,46.77,127.25,8.54,4.33,399.3,57.35,43.4,2,23187.04,0,Medium
ZONE-126,90.76,145.69,231.66,17.4,0.78,355.74,91.39,33.17,3,18841.77,1,High
ZONE-127,7.32,21.43,78.65,24.73,0.79,411.51,57.59,79.61,2,15799.26,0,Low
ZONE-128,62.12,70.88,103.73,48.63,2.39,810.44,22.74,37.58,0,4579.16,1,Low
ZONE-129,34.57,62.28,130.56,54.11,4.14,968.66,54.55,65.5,4,21861.98,0,High
ZONE-130,59.26,79.15,127.13,47.59,4.86,550.21,60.96,17.98,1,7839.11,0,Low
ZONE-131,24.87,97.73,111.78,56.05,6.8,600.2,47.61,43.51,3,12955.08,1,Medium
ZONE-132,21.4,43.53,114.62,6.78,3.73,105.95,88.48,39.12,3,15835.19,1,Medium
ZONE-133,37.51,92.9,173.96,35.22,1.61,989.45,52.41,76.24,0,23153.04,0,Low
ZONE-134,47.21,90.09,166.24,58.4,0.81,179.24,31.4,15.02,2,22127.32,0,Medium
ZONE-135,83.42,143.29,202.73,25.44,6.53,946.01,72.42,21.45,1,8236.83,1,Medium
ZONE-136,62.37,83.66,162.61,49.35,4.2,344.37,95.11,34.75,1,24469.2,0,Low
ZONE-137,22.6,47.98,69.76,42.97,4.2,662.09,38.98,24.98,1,17865.82,1,Low
ZONE-138,96.51,104.57,147.41,13.72,4.77,207.7,76.87,35.08,2,22689.1,1,Medium
ZONE-139,80.08,155.55,251,23.19,7.43,410.67,62.19,87.68,0,18911.46,1,Medium
ZONE-140,43,49.56,92.77,23.5,5.38,900.11,49.63,42.04,5,18280.22,1,High
ZONE-141,93.94,116.19,167.75,22.25,5.57,711.58,44.8,53.41,2,20220.54,0,High
ZONE-142,34.57,80.94,91.06,55.29,7.37,980.15,97.28,59.4,0,19791.02,1,Low
ZONE-143,77.03,128.19,201.53,6.77,6.59,471.94,48.38,17.44,2,24802.66,0,High
ZONE-144,36.8,107.99,201.94,46.49,4.37,357.74,44.32,48.5,0,8462.02,1,Low
ZONE-145,90.41,151.95,187.84,38.37,7.58,707.93,38.54,45.6,0,6396.41,1,Medium
ZONE-146,76.74,102.91,178.91,8.93,2.81,942.22,36.74,50.54,2,4898.79,1,High
ZONE-147,93.04,170.79,221.42,38.08,2.79,956.62,30.82,65.14,5,9912.02,0,High
ZONE-148,32.96,40.79,75.16,6.27,6.81,113.26,50.38,67.2,1,17833.78,0,Low
ZONE-149,9.84,20.32,94.82,22.1,1.55,168.28,73.46,69.43,4,6542.31,1,Medium
ZONE-150,7.96,50.61,85.37,8.9,4.03,860.57,38.17,20.54,3,13420.87,0,High
